177.777,177.344,0.344, 
199.803,199.406,0.266, 
176.478,176.047,0.313, 
104.225,207.172,0.313, 
104.669,207.922,0.313, 
105.335,209.578,0.297, 
101.624,298.953,0.281, 
108.109,318.313,0.422, 
101.675,299.016,0.344, 
107.522,402.281,0.406, 
105.948,402.313,0.344, 
101.981,403.844,0.422, 
102.836,406.75,0.344, 
103.039,407.047,0.313, 
104.524,407.719,0.281, 
104.118,411.453,0.313, 
103.885,411.063,0.297, 
104.007,411.156,0.328, 
105.265,415.641,0.297, 
109.745,413.141,0.422, 
109.054,414.078,0.422, 
105.921,419.078,0.344, 
106.135,420.094,0.359, 
105.975,419.438,0.328, 
107.945,427.25,0.281, 
108.249,427.031,0.344, 
108.174,427.109,0.25, 
110.622,437.25,0.344, 
110.639,437.109,0.422, 
112.746,436.266,0.359, 
