"word"
"shareowners"
"amazon’s"
"letter"
"shareholders"
"talked"
"hope"
"create"
"enduring"
"franchise"
"reinvent"
"means"
"serve"
"customers"
"unlocking"
"internet’s"
"power"
"noted"
"amazon"
"grown"
"employees"
"surpassed"
"million"
"customer"
"accounts"
"public"
"split"
"adjusted"
"stock"
"price"
"share"
"wrote"
"day"
"we’ve"
"harder"
"serve"
"delight"
"customers"
"hired"
"employees"
"directly"
"employ"
"million"
"people"
"world"
"million"
"prime"
"worldwide"
"million"
"medium"
"sized"
"businesses"
"sell"
"store"
"close"
"retail"
"sales"
"customers"
"connected"
"million"
"smart"
"home"
"devices"
"alexa"
"amazon"
"web"
"services"
"serves"
"millions"
"customers"
"billion"
"annualized"
"run"
"rate"
"hadn’t"
"invented"
"prime"
"marketplace"
"alexa"
"aws"
"weren’t"
"ideas"
"preordained"
"risk"
"sweat"
"ingenuity"
"we’ve"
"created"
"trillion"
"wealth"
"shareowners"
"chair"
"amazon"
"shares"
"wealthy"
"ths"
"shares"
"representing"
"trillion"
"wealth"
"creation"
"owned"
"they’re"
"pension"
"funds"
"universities"
"they’re"
"mary"
"larry"
"note"
"blue"
"sitting"
"write"
"shareholder"
"letter"
"approached"
"similar"
"stories"
"time"
"people"
"who’ve"
"amazon"
"money"
"college"
"emergencies"
"houses"
"vacations"
"start"
"business"
"charity"
"list"
"i’m"
"proud"
"wealth"
"we’ve"
"created"
"shareowners"
"it’s"
"significant"
"improves"
"lives"
"it’s"
"largest"
"we’ve"
"created"
"create"
"consume"
"successful"
"business"
"life"
"create"
"consume"
"goal"
"create"
"interact"
"business"
"doesn’t"
"create"
"touches"
"appears"
"successful"
"surface"
"isn’t"
"world"
"it’s"
"remember"
"stock"
"prices"
"past"
"prediction"
"future"
"cash"
"flows"
"discounted"
"stock"
"market"
"anticipates"
"i’m"
"switch"
"gears"
"moment"
"talk"
"past"
"create"
"shareowners"
"easy"
"question"
"answer"
"accounting"
"systems"
"set"
"answer"
"net"
"income"
"billion"
"publicly"
"traded"
"company"
"thousands"
"owners"
"amazon"
"sole"
"proprietorship"
"single"
"owner"
"that’s"
"owner"
"earned"
"employees"
"easy"
"creation"
"question"
"answer"
"compensation"
"expense"
"expense"
"company"
"income"
"employees"
"employees"
"earned"
"billion"
"billion"
"include"
"benefits"
"payroll"
"taxes"
"total"
"billion"
"party"
"sellers"
"internal"
"team"
"selling"
"partner"
"services"
"team"
"answer"
"question"
"estimate"
"party"
"seller"
"profits"
"selling"
"amazon"
"billion"
"billion"
"conservative"
"i’ll"
"billion"
"customers"
"break"
"consumer"
"customers"
"aws"
"customers"
"we’ll"
"consumers"
"offer"
"low"
"prices"
"vast"
"selection"
"fast"
"delivery"
"imagine"
"ignore"
"purpose"
"estimate"
"save"
"customers"
"time"
"customers"
"complete"
"purchases"
"amazon"
"minutes"
"half"
"purchases"
"finished"
"minutes"
"compare"
"typical"
"shopping"
"trip"
"physical"
"store"
"driving"
"parking"
"searching"
"store"
"aisles"
"waiting"
"checkout"
"line"
"finding"
"car"
"driving"
"home"
"research"
"suggests"
"typical"
"physical"
"store"
"trip"
"takes"
"hour"
"assume"
"typical"
"amazon"
"purchase"
"takes"
"minutes"
"saves"
"couple"
"trips"
"physical"
"store"
"week"
"that’s"
"hours"
"saved"
"that’s"
"we’re"
"busy"
"st"
"century"
"dollar"
"figure"
"let’s"
"time"
"savings"
"hour"
"conservative"
"seventy"
"hours"
"multiplied"
"hour"
"subtracting"
"cost"
"prime"
"creation"
"prime"
"million"
"prime"
"total"
"billion"
"creation"
"aws"
"challenging"
"estimate"
"customer’s"
"workload"
"we’ll"
"acknowledging"
"front"
"error"
"bars"
"direct"
"cost"
"improvements"
"operating"
"cloud"
"versus"
"premises"
"vary"
"reasonable"
"estimate"
"aws’s"
"entire"
"revenue"
"billion"
"imply"
"customer"
"creation"
"billion"
"cost"
"billion"
"cost"
"billion"
"aws"
"difficult"
"estimation"
"exercise"
"direct"
"cost"
"reduction"
"portion"
"customer"
"benefit"
"moving"
"cloud"
"bigger"
"benefit"
"increased"
"speed"
"software"
"development"
"significantly"
"improve"
"customer’s"
"competitiveness"
"top"
"line"
"reasonable"
"estimating"
"portion"
"customer"
"it’s"
"larger"
"direct"
"cost"
"savings"
"conservative"
"remembering"
"we’re"
"ballpark"
"estimates"
"i’ll"
"it’s"
"call"
"aws"
